ELECTION_DATE,ELECTION_NAME,COUNTY_ID,COUNTY_NAME,CONTEST_ID,CONTEST_NAME,CANDIDATE_ID,CANDIDATE_NAME,INCUMBENT_FLAG,WRITE_IN_FLAG,PARTY_ID,PARTY_NAME,VOTE_TOTAL
11/08/2016,2016 Presidential General,1,Alameda,010000000000,President,2,Gloria Estela La Riva,N,N,9,Peace and Freedom,"3,162"
11/08/2016,2016 Presidential General,1,Alameda,010000000000,President,20,Donald J. Trump,N,N,4,"Republican,AmericanIndependent","95,922"
11/08/2016,2016 Presidential General,1,Alameda,010000000000,President,22,Gary Johnson,N,N,7,Libertarian,"16,906"
11/08/2016,2016 Presidential General,1,Alameda,010000000000,President,25,Hillary Clinton,N,N,1,Democratic,"514,842"
11/08/2016,2016 Presidential General,1,Alameda,010000000000,President,51,Jill Stein,N,N,6,Green,"17,830"
11/08/2016,2016 Presidential General,1,Alameda,010000000000,President,696,Laurence Kotlikoff,N,Y,14,Blank,27
11/08/2016,2016 Presidential General,1,Alameda,010000000000,President,698,Mike Maturen,N,Y,14,Blank,71
11/08/2016,2016 Presidential General,1,Alameda,010000000000,President,1166,"Bernard ""Bernie"" Sanders",N,Y,14,Blank,"4,206"
11/08/2016,2016 Presidential General,1,Alameda,010000000000,President,1187,Jerry White,N,Y,14,Blank,9
11/08/2016,2016 Presidential General,1,Alameda,010000000000,President,1478,Evan McMullin,N,Y,14,Blank,"1,291"
11/08/2016,2016 Presidential General,1,Alameda,100000000001,US Senate - 1,85,Loretta L. Sanchez,N,N,1,Democratic,"144,134"
11/08/2016,2016 Presidential General,1,Alameda,100000000001,US Senate - 1,289,Kamala D. Harris,N,N,1,Democratic,"443,536"
11/08/2016,2016 Presidential General,1,Alameda,110000130000,United States Representative District 13,396,Sue Caro,N,N,3,Republican,"29,754"
11/08/2016,2016 Presidential General,1,Alameda,110000130000,United States Representative District 13,703,Barbara Lee,Y,N,1,Democratic,"293,117"
11/08/2016,2016 Presidential General,1,Alameda,110000150000,United States Representative District 15,161,Eric Swalwell,Y,N,1,Democratic,"177,006"
11/08/2016,2016 Presidential General,1,Alameda,110000150000,United States Representative District 15,412,Danny R. Turner,N,N,3,Republican,"60,413"
11/08/2016,2016 Presidential General,1,Alameda,110000170000,United States Representative District 17,227,Mike Honda,Y,N,1,Democratic,"21,925"
11/08/2016,2016 Presidential General,1,Alameda,110000170000,United States Representative District 17,338,Ro Khanna,N,N,1,Democratic,"36,605"
11/08/2016,2016 Presidential General,1,Alameda,120000070000,State Senate District 7,324,Joseph Alexander Rubay,N,N,3,Republican,"32,991"
11/08/2016,2016 Presidential General,1,Alameda,120000070000,State Senate District 7,416,Steve Glazer,Y,N,1,Democratic,"58,806"
11/08/2016,2016 Presidential General,1,Alameda,120000090000,State Senate District 9,162,Nancy Skinner,N,N,1,Democratic,"177,987"
11/08/2016,2016 Presidential General,1,Alameda,120000090000,State Senate District 9,406,Sandré R. Swanson,N,N,1,Democratic,"115,960"
11/08/2016,2016 Presidential General,1,Alameda,130000150000,State Assembly Member District 15,312,Tony Thurmond,Y,N,1,Democratic,"116,217"
11/08/2016,2016 Presidential General,1,Alameda,130000150000,State Assembly Member District 15,378,Claire Chiara,N,N,3,Republican,"10,871"
11/08/2016,2016 Presidential General,1,Alameda,130000160000,State Assembly Member District 16,164,Cheryl Cook-Kallio,N,N,1,Democratic,"40,573"
11/08/2016,2016 Presidential General,1,Alameda,130000160000,State Assembly Member District 16,231,Catharine Baker,Y,N,3,Republican,"51,727"
11/08/2016,2016 Presidential General,1,Alameda,130000180000,State Assembly Member District 18,165,Roseann Slonsky-Breault,N,N,3,Republican,"23,273"
11/08/2016,2016 Presidential General,1,Alameda,130000180000,State Assembly Member District 18,169,Rob Bonta,Y,N,1,Democratic,"156,163"
11/08/2016,2016 Presidential General,1,Alameda,130000200000,State Assembly Member District 20,167,Bill Quirk,Y,N,1,Democratic,"114,001"
11/08/2016,2016 Presidential General,1,Alameda,130000200000,State Assembly Member District 20,377,Luis A. Wong,N,N,3,Republican,"39,507"
11/08/2016,2016 Presidential General,1,Alameda,130000250000,State Assembly Member District 25,108,Bob Brunton,N,N,3,Republican,"12,873"
11/08/2016,2016 Presidential General,1,Alameda,130000250000,State Assembly Member District 25,389,Kansen Chu,Y,N,1,Democratic,"34,602"
11/08/2016,2016 Presidential General,2,Alpine,010000000000,President,2,Gloria Estela La Riva,N,N,9,Peace and Freedom,3
11/08/2016,2016 Presidential General,2,Alpine,010000000000,President,20,Donald J. Trump,N,N,4,"Republican,AmericanIndependent",217
11/08/2016,2016 Presidential General,2,Alpine,010000000000,President,22,Gary Johnson,N,N,7,Libertarian,25
11/08/2016,2016 Presidential General,2,Alpine,010000000000,President,25,Hillary Clinton,N,N,1,Democratic,334
11/08/2016,2016 Presidential General,2,Alpine,010000000000,President,51,Jill Stein,N,N,6,Green,21
11/08/2016,2016 Presidential General,2,Alpine,010000000000,President,696,Laurence Kotlikoff,N,Y,14,Blank,0
11/08/2016,2016 Presidential General,2,Alpine,010000000000,President,698,Mike Maturen,N,Y,14,Blank,0
11/08/2016,2016 Presidential General,2,Alpine,010000000000,President,1166,"Bernard ""Bernie"" Sanders",N,Y,14,Blank,1
11/08/2016,2016 Presidential General,2,Alpine,010000000000,President,1187,Jerry White,N,Y,14,Blank,0
11/08/2016,2016 Presidential General,2,Alpine,010000000000,President,1478,Evan McMullin,N,Y,14,Blank,1
11/08/2016,2016 Presidential General,2,Alpine,100000000001,US Senate - 1,85,Loretta L. Sanchez,N,N,1,Democratic,133
11/08/2016,2016 Presidential General,2,Alpine,100000000001,US Senate - 1,289,Kamala D. Harris,N,N,1,Democratic,342
