Name,Democratic Vote Total,Republican Vote Total,Difference,Ratio,voted_democrat_in_prev,voted_the_same_past_2
Alameda,469684,108182,361502,4.341609509899984,1,1
Alpine,389,236,153,1.6483050847457628,1,1
Amador,6830,10281,3451,0.664332263,0,1
Butte,42669,44479,1810,0.959306639,1,0
Calaveras,8670,12365,3695,0.7011726647796199,0,1
Colusa,2314,3601,1287,0.6425992779783394,0,1
Contra Costa,290824,136517,154307,2.1303134408168947,1,1
Del Norte,3791,4614,823,0.8216298222800174,0,1
El Dorado,35166,50973,15807,0.6898946501088812,0,1
Fresno,129129,124490,4639,1.037264037,1,0
Glenn,3301,5632,2331,0.5861150568181818,0,1
Humboldt,34457,18825,15632,1.8303851261620185,1,1
Imperial,25136,12777,12359,1.967284965171793,1,1
Inyo,3422,4340,918,0.7884792626728111,0,1
Kern,89495,126618,37123,0.7068110379250976,0,1
Kings,12979,17671,4692,0.7344802218323807,0,1
Lake,13163,9200,3963,1.4307608695652174,1,1
Lassen,3053,7296,4243,0.4184484649122807,0,1
Los Angeles,2216903,885333,1331570,2.504032945795537,1,1
Madera,16018,22852,6834,0.7009452126728514,0,1
Marin,99896,30880,69016,3.2349740932642486,1,1
Mariposa,3498,5140,1642,0.6805447470817121,0,1
Mendocino,23193,9658,13535,2.4014288672603024,1,1
Merced,33005,27581,5424,1.1966571190312172,1,0
Modoc,1111,2777,1666,0.40007202016564636,0,1
Mono,2733,2285,448,1.1960612691466084,1,1
Monterey,82920,37390,45530,2.217705268788446,1,1
Napa,35870,19526,16344,1.837037796,1,1
Nevada,24663,24986,323,0.9870727607460178,1,0
Orange,512440,582332,69892,0.8799791184410267,0,1
Placer,66818,99921,33103,0.6687082795408372,0,1
Plumas,4026,5721,1695,0.703723125,0,1
Riverside,329063,318127,10936,1.0343762082438774,1,0
Sacramento,300503,202514,97989,1.483862844050288,1,1
San Benito,11276,7343,3933,1.535612147623587,1,1
San Bernardino,305109,262358,42751,1.1629491000846173,1,0
San Diego,626957,536726,90231,1.1681137116517553,1,0
San Francisco,301723,47076,254647,6.409274364856827,1,1
San Joaquin,114121,86071,28050,1.325893738889986,1,0
San Luis Obispo,61258,59967,1291,1.0215285073457068,1,0
San Mateo,206085,72756,133329,2.832549892792347,1,1
Santa Barbara,94129,64606,29523,1.4569699408723649,1,1
Santa Clara,450818,174843,275975,2.578416064698043,1,1
Santa Cruz,90805,24047,66758,3.7761467126876536,1,1
Shasta,25819,48067,22248,0.5371460669482181,0,1
Sierra,653,1056,403,0.6183712121212122,0,1
Siskiyou,8046,11077,3031,0.726369956,0,1
Solano,96783,52092,44691,1.8579244413729556,1,1
Sonoma,153942,54784,99158,2.809981016,1,1
Stanislaus,77724,73459,4265,1.0580595978709213,1,0
Sutter,12192,18122,5930,0.6727734245668249,0,1
Tehama,7934,14235,6301,0.5573586231120478,0,1
Trinity,2674,2716,42,0.9845360824742269,1,0
Tulare,41752,56956,15204,0.7330570967062293,0,1
Tuolumne,9998,13880,3882,0.7203170028818444,0,1
Ventura,170929,147958,22971,1.1552535178902121,1,0
Yolo,48715,23368,25347,2.0846884628551865,1,1
Yuba,7711,11275,3564,0.6839024390243903,0,1
